# Simulation 1D along y | 2020-08-03 14:33:52.262975
x;y;z;Bx;By;Bz;Fx;Fy;Fz
[mm];[mm];[mm];[mT];[mT];[mT];[N];[N];[N]
0.0;-30.0;0.0;4.540803611340422e-17;-0.7415695063265435;-0.6684630162350084;0.0;9.074e-07;-3.08e-08
0.0;-29.93993993993994;0.0;4.5705839582360524e-17;-0.7464330060582808;-0.671249040141496;0.0;9.19e-07;-3.13e-08
0.0;-29.87987987987988;0.0;4.600601645578521e-17;-0.7513352664264732;-0.6740487998309213;0.0;9.307e-07;-3.18e-08
0.0;-29.81981981981982;0.0;4.6308588915924186e-17;-0.756276649694688;-0.6768623662578227;0.0;9.425e-07;-3.23e-08
0.0;-29.75975975975976;0.0;4.6613579383141837e-17;-0.7612575220152623;-0.6796898106830551;0.0;9.546e-07;-3.28e-08
0.0;-29.6996996996997;0.0;4.692101051882538e-17;-0.7662782534767348;-0.6825312046736643;0.0;9.669e-07;-3.33e-08
0.0;-29.63963963963964;0.0;4.723090522833132e-17;-0.7713392181519654;-0.685386620102697;0.0;9.792e-07;-3.39e-08
0.0;-29.57957957957958;0.0;4.7543286663970036e-17;-0.7764407941468761;-0.6882561291490189;0.0;9.918e-07;-3.44e-08
0.0;-29.51951951951952;0.0;4.7858178228034674e-17;-0.7815833636499177;-0.6911398042970606;0.0;1.0046e-06;-3.5e-08
0.0;-29.45945945945946;0.0;4.817560357587018e-17;-0.7867673129821907;-0.6940377183365491;0.0;1.0175e-06;-3.55e-08
0.0;-29.3993993993994;0.0;4.8495586618985386e-17;-0.7919930326482689;-0.6969499443621985;0.0;1.0307e-06;-3.61e-08
0.0;-29.33933933933934;0.0;4.881815152820943e-17;-0.7972609173877485;-0.699876555773367;0.0;1.044e-06;-3.67e-08
0.0;-29.27927927927928;0.0;4.914332273689129e-17;-0.8025713662274998;-0.7028176262736711;0.0;1.0575e-06;-3.73e-08
0.0;-29.21921921921922;0.0;4.9471124944143866e-17;-0.8079247825346474;-0.7057732298705724;0.0;1.0712e-06;-3.79e-08
0.0;-29.15915915915916;0.0;4.980158311813581e-17;-0.8133215740703297;-0.7087434408749033;0.0;1.0852e-06;-3.85e-08
0.0;-29.0990990990991;0.0;5.013472249942671e-17;-0.8187621530441668;-0.7117283339003848;0.0;1.0992e-06;-3.92e-08
0.0;-29.03903903903904;0.0;5.047056860435063e-17;-0.8242469361695177;-0.7147279838630806;0.0;1.1136e-06;-3.98e-08
0.0;-28.97897897897898;0.0;5.0809147228448524e-17;-0.829776344719536;-0.717742465980815;0.0;1.1282e-06;-4.04e-08
0.0;-28.91891891891892;0.0;5.115048444994657e-17;-0.8353508045839753;-0.7207718557725629;0.0;1.1429e-06;-4.12e-08
0.0;-28.85885885885886;0.0;5.14946066332862e-17;-0.8409707463268389;-0.723816229057769;0.0;1.1579e-06;-4.18e-08
0.0;-28.7987987987988;0.0;5.1841540432702725e-17;-0.8466366052448236;-0.7268756619556619;0.0;1.1731e-06;-4.24e-08
0.0;-28.73873873873874;0.0;5.2191312795856115e-17;-0.8523488214266144;-0.7299502308844813;0.0;1.1886e-06;-4.32e-08
0.0;-28.67867867867868;0.0;5.2543950967511686e-17;-0.8581078398129948;-0.7330400125607044;0.0;1.2042e-06;-4.39e-08
0.0;-28.61861861861862;0.0;5.28994824932756e-17;-0.863914110257852;-0.7361450839981815;0.0;1.2201e-06;-4.46e-08
0.0;-28.55855855855856;0.0;5.3257935223382024e-17;-0.8697680875900263;-0.7392655225072683;0.0;1.2363e-06;-4.54e-08
0.0;-28.4984984984985;0.0;5.361933731653533e-17;-0.8756702316760588;-0.7424014056938812;0.0;1.2526e-06;-4.61e-08
0.0;-28.43843843843844;0.0;5.398371724380731e-17;-0.8816210074838373;-0.7455528114585066;0.0;1.2693e-06;-4.69e-08
0.0;-28.37837837837838;0.0;5.435110379259115e-17;-0.8876208851471707;-0.7487198179951827;0.0;1.2861e-06;-4.76e-08
0.0;-28.31831831831832;0.0;5.472152607061061e-17;-0.8936703400312623;-0.7519025037904032;0.0;1.3033e-06;-4.85e-08
0.0;-28.25825825825826;0.0;5.509501350998956e-17;-0.899769852799172;-0.7551009476219875;0.0;1.3207e-06;-4.92e-08
0.0;-28.1981981981982;0.0;5.547159587137819e-17;-0.9059199094792013;-0.7583152285578979;0.0;1.3383e-06;-5.01e-08
0.0;-28.13813813813814;0.0;5.585130324814132e-17;-0.9121210015332939;-0.7615454259549971;0.0;1.3563e-06;-5.09e-08
0.0;-28.07807807807808;0.0;5.623416607060528e-17;-0.9183736259263928;-0.7647916194577492;0.0;1.3744e-06;-5.18e-08
0.0;-28.01801801801802;0.0;5.662021511036787e-17;-0.9246782851968269;-0.7680538889968822;0.0;1.3929e-06;-5.27e-08
0.0;-27.95795795795796;0.0;5.700948148467187e-17;-0.9310354875277359;-0.771332314787982;0.0;1.4117e-06;-5.35e-08
0.0;-27.8978978978979;0.0;5.740199666084125e-17;-0.9374457468195199;-0.7746269773300213;0.0;1.4307e-06;-5.44e-08
0.0;-27.83783783783784;0.0;5.779779246078311e-17;-0.9439095827633598;-0.7779379574038542;0.0;1.45e-06;-5.53e-08
0.0;-27.77777777777778;0.0;5.81969010655553e-17;-0.9504275209158143;-0.7812653360706332;0.0;1.4697e-06;-5.62e-08
0.0;-27.71771771771772;0.0;5.85993550200021e-17;-0.9570000927745249;-0.7846091946701728;0.0;1.4895e-06;-5.72e-08
0.0;-27.65765765765766;0.0;5.900518723745708e-17;-0.9636278358550202;-0.7879696148192489;0.0;1.5098e-06;-5.81e-08
0.0;-27.5975975975976;0.0;5.941443100451684e-17;-0.9703112937686766;-0.7913466784098466;0.0;1.5304e-06;-5.91e-08
0.0;-27.53753753753754;0.0;5.982711998588377e-17;-0.9770510163018061;-0.7947404676073289;0.0;1.5513e-06;-6.01e-08
0.0;-27.47747747747748;0.0;6.024328822928304e-17;-0.9838475594959586;-0.798151064848551;0.0;1.5724e-06;-6.11e-08
0.0;-27.41741741741742;0.0;6.066297017045005e-17;-0.9907014857293707;-0.8015785528399173;0.0;1.5939e-06;-6.21e-08
0.0;-27.35735735735736;0.0;6.108620063819431e-17;-0.9976133637996669;-0.8050230145553524;0.0;1.6157e-06;-6.32e-08
0.0;-27.2972972972973;0.0;6.151301485953834e-17;-1.004583769007784;-0.8084845332342158;0.0;1.638e-06;-6.43e-08
0.0;-27.237237237237238;0.0;6.194344846493233e-17;-1.0116132832431322;-0.811963192379158;0.0;1.6605e-06;-6.55e-08
0.0;-27.177177177177178;0.0;6.237753749354993e-17;-1.0187024950700823;-0.8154590757538844;0.0;1.6834e-06;-6.65e-08
0.0;-27.117117117117118;0.0;6.281531839865976e-17;-1.0258519998156894;-0.8189722673808704;0.0;1.7065e-06;-6.76e-08
0.0;-27.057057057057058;0.0;6.325682805308172e-17;-1.0330623996588009;-0.8225028515389854;0.0;1.7302e-06;-6.88e-08
0.0;-26.996996996996998;0.0;6.37021037547229e-17;-1.0403343037204653;-0.8260509127610586;0.0;1.7541e-06;-7e-08
0.0;-26.936936936936938;0.0;6.415118323219914e-17;-1.0476683281557375;-0.8296165358313662;0.0;1.7785e-06;-7.13e-08
0.0;-26.876876876876878;0.0;6.460410465053996e-17;-1.0550650962468502;-0.8331998057830371;0.0;1.8032e-06;-7.24e-08
0.0;-26.816816816816818;0.0;6.506090661698273e-17;-1.0625252384978374;-0.8368008078953855;0.0;1.8283e-06;-7.37e-08
0.0;-26.756756756756758;0.0;6.552162818685294e-17;-1.0700493927305677;-0.8404196276911673;0.0;1.8538e-06;-7.49e-08
0.0;-26.696696696696698;0.0;6.59863088695352e-17;-1.077638204182258;-0.844056350933762;0.0;1.8799e-06;-7.62e-08
0.0;-26.636636636636638;0.0;6.645498863453556e-17;-1.0852923256044782;-0.8477110636242515;0.0;1.9062e-06;-7.75e-08
0.0;-26.576576576576578;0.0;6.692770791763698e-17;-1.0930124173636784;-0.851383851998454;0.0;1.9329e-06;-7.89e-08
0.0;-26.516516516516518;0.0;6.740450762714942e-17;-1.1007991475432601;-0.8550748025238363;0.0;1.9602e-06;-8.02e-08
0.0;-26.456456456456458;0.0;6.788542915025591e-17;-1.1086531920472154;-0.858784001896366;0.0;1.9877e-06;-8.16e-08
0.0;-26.396396396396398;0.0;6.837051435945649e-17;-1.116575234705365;-0.862511537037274;0.0;2.0158e-06;-8.3e-08
0.0;-26.336336336336338;0.0;6.885980561911375e-17;-1.1245659673802542;-0.8662574950897141;0.0;2.0442e-06;-8.45e-08
0.0;-26.276276276276278;0.0;6.935334579209669e-17;-1.132626090075656;-0.8700219634153634;0.0;2.0732e-06;-8.6e-08
0.0;-26.216216216216218;0.0;6.98511782465314e-17;-1.1407563110468177;-0.8738050295909001;0.0;2.1027e-06;-8.75e-08
0.0;-26.156156156156158;0.0;7.035334686265382e-17;-1.1489573469123762;-0.8776067814044184;0.0;2.1326e-06;-8.89e-08
0.0;-26.096096096096097;0.0;7.085989603977331e-17;-1.1572299227680787;-0.8814273068517222;0.0;2.163e-06;-9.05e-08
0.0;-26.036036036036037;0.0;7.137087070334077e-17;-1.1655747723022172;-0.8852666941325511;0.0;2.1938e-06;-9.22e-08
